gis_acres,state,managing_agency,rights_type,township,range,section,county,bene_cd,bene_abrev,aliquot,acres,state_enabling_act,object_id
643.571,UT,Trust Lands Administration,Surface,9,19,32,Tooele,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),1
234.35,UT,Trust Lands Administration,Surface,10,20,36,Tooele,10,Public Schools,"LOTS 1, 2 (ALL)",238.159999999999997,28 Stat. 107-110 (1894),2
651.771,UT,Trust Lands Administration,Surface,7,20,2,Uintah,10,Public Schools,"LOTS 1-4, S2N2, S2 (ALL)",642.879999999999995,28 Stat. 107-110 (1894),3
637.423,UT,Trust Lands Administration,Surface,9,25,21,Uintah,10,Public Schools,"LOTS 1, 2, S2NE4, NW4, S2 (ALL)",638.590000000000032,28 Stat. 107-110 (1894),4
641.369,UT,Trust Lands Administration,Surface,15,23,13,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),5
634.446,UT,Trust Lands Administration,Surface,12,20,16,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),6
647.656,UT,Trust Lands Administration,Surface,7,21,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),7
159.9,UT,Trust Lands Administration,Surface,9,25,19,Uintah,10,Public Schools,SE4,160.000000000000000,28 Stat. 107-110 (1894),8
639.613,UT,Trust Lands Administration,Surface,13,23,32,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),9
638.804,UT,Trust Lands Administration,Surface,11,23,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),10
618.963,UT,Trust Lands Administration,Surface,11,25,32,Uintah,10,Public Schools,"LOTS 7(40.00), 8(26.82), 9(40.00), 10(40.00), 11(36.75), 12(30.54), 13(40.00), NE4, NE4NW4, S2SW4, E2SE4 [ALL, EXCEPT MINING CLAIM]",614.110000000000014,28 Stat. 107-110 (1894),11
201.59,UT,Trust Lands Administration,Surface,7,19,2,Uintah,10,Public Schools,"LOTS 1(41.92), 2(47.42), 3(28.65), SE4NE4 [LOTS AKA N2NE4, PART OF SW4NE4]",157.990000000000009,28 Stat. 107-110 (1894),12
439.628,UT,Trust Lands Administration,Surface,5,20,36,Uintah,10,Public Schools,"LOTS 1(40.77), 2(40.55), 3(40.33), 4(40.11), NW4, N2SW4, NW4SE4 [LOTS AKA S2S2]",441.759999999999991,28 Stat. 107-110 (1894),13
477.337,UT,Trust Lands Administration,Surface,12,17,2,Carbon,10,Public Schools,"LOTS 1-4, S2 (ALL)",476.959999999999980,28 Stat. 107-110 (1894),14
640.23,UT,Trust Lands Administration,Surface,12,24,29,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),15
639.627,UT,Trust Lands Administration,Surface,12,22,36,Uintah,10,Public Schools,ALL,640.000000000000000,28 Stat. 107-110 (1894),16
443.894,UT,Trust Lands Administration,Surface,7,21,2,Uintah,10,Public Schools,"LOTS 4(20.50), 5(4.90), 6(39.40), 7(35.00), 8(30.50), SW4NW4, S2 [LOTS AKA PART OF S2NE4, PART OF S2N2NW4, PART OF SE4NW4]",490.300000000000011,28 Stat. 107-110 (1894),17
